1,妙蛙种子,11,3,15,58,500,0,32/41/20/23/19/24/28/19,16,2,45,2,64,45/49/49/65/65/45,9/3/14/1/12/4,0/0/0/0/0/0,1|拍击|使用长长的尾巴或手等拍打对方进行攻击|0|0|40|100|35|35|0|0/|0|02|破坏光线|攻击目标造成伤害 70%的几率令目标进入睡眠状态|0|1|150|90|5|5|2|4/100/|0|0
1,妙蛙种子,11,3,1,0,62,0,2/11/6/6/6/6/6/6,16,2,45,2,64,45/49/49/65/65/45,1/7/4/15/0/14,0/0/0/0/0/0,1|拍击|使用长长的尾巴或手等拍打对方进行攻击|0|0|40|100|35|35|0|0/|0|02|破坏光线|攻击目标造成伤害 70%的几率令目标进入睡眠状态|0|1|150|90|5|5|2|4/100/|0|0
2,妙蛙草,11,3,1,2,62,0,9/12/6/6/6/6/6/6,32,3,45,2,141,60/62/63/80/80/60,2/10/4/14/1/4,0/0/0/0/0/0,1|拍击|使用长长的尾巴或手等拍打对方进行攻击|0|0|40|100|35|35|0|0/|0|02|破坏光线|攻击目标造成伤害 70%的几率令目标进入睡眠状态|0|1|150|90|5|5|2|4/100/|0|0
2,妙蛙草,11,3,1,0,62,0,12/12/6/6/6/6/6/6,32,3,45,2,141,60/62/63/80/80/60,14/11/5/0/9/5,0/0/0/0/0/0,1|拍击|使用长长的尾巴或手等拍打对方进行攻击|0|0|40|100|35|35|0|0/|0|02|破坏光线|攻击目标造成伤害 70%的几率令目标进入睡眠状态|0|1|150|90|5|5|2|4/100/|0|0
1,妙蛙种子,11,3,1,0,62,0,12/12/6/6/5/6/6/5,16,2,45,2,64,45/49/49/65/65/45,7/4/6/5/10/2,0/0/0/0/0/0,1|拍击|使用长长的尾巴或手等拍打对方进行攻击|0|0|40|100|35|35|0|0/|0|02|破坏光线|攻击目标造成伤害 70%的几率令目标进入睡眠状态|0|1|150|90|5|5|2|4/100/|0|0
2,妙蛙草,11,3,1,0,62,0,12/12/6/6/6/6/6/6,32,3,45,2,141,60/62/63/80/80/60,10/7/15/13/4/8,0/0/0/0/0/0,1|拍击|使用长长的尾巴或手等拍打对方进行攻击|0|0|40|100|35|35|0|0/|0|02|破坏光线|攻击目标造成伤害 70%的几率令目标进入睡眠状态|0|1|150|90|5|5|2|4/100/|0|0
2,妙蛙草,11,3,1,0,62,0,12/12/6/6/6/6/6/6,32,3,45,2,141,60/62/63/80/80/60,9/15/13/7/3/12,0/0/0/0/0/0,1|拍击|使用长长的尾巴或手等拍打对方进行攻击|0|0|40|100|35|35|0|0\|0|02|破坏光线|攻击目标造成伤害 70%的几率令目标进入睡眠状态|0|1|150|90|5|5|2|4\100\|0|0
1,妙蛙种子,11,3,1,0,62,0,12/12/6/6/5/6/6/5,16,2,45,2,64,45/49/49/65/65/45,8/6/10/11/1/2,0/0/0/0/0/0,1|拍击|使用长长的尾巴或手等拍打对方进行攻击|0|0|40|100|35|35|0|0\|0|02|破坏光线|攻击目标造成伤害 70%的几率令目标进入睡眠状态|0|1|150|90|2|5|2|4\100\|0|0
1,妙蛙种子,11,3,1,0,62,0,12/12/6/6/6/6/6/6,16,2,45,2,64,45/49/49/65/65/45,15/13/6/5/3/15,0/0/0/0/0/0,1|拍击|使用长长的尾巴或手等拍打对方进行攻击|0|0|40|100|35|35|0|0\|0|02|破坏光线|攻击目标造成伤害 70%的几率令目标进入睡眠状态|0|1|150|90|5|5|2|4\100\|0|0
1,妙蛙种子,11,3,1,0,62,0,12/12/6/5/5/6/6/5,16,2,45,2,64,45/49/49/65/65/45,14/15/0/10/12/0,0/0/0/0/0/0,1|拍击|使用长长的尾巴或手等拍打对方进行攻击|0|0|40|100|35|35|0|0\|0|02|破坏光线|攻击目标造成伤害 70%的几率令目标进入睡眠状态|0|1|150|90|5|5|2|4\100\|0|0
1,妙蛙种子,11,3,1,0,62,0,12/12/6/6/6/6/6/6,16,2,45,2,64,45/49/49/65/65/45,14/6/1/4/2/7,0/0/0/0/0/0,1|拍击|使用长长的尾巴或手等拍打对方进行攻击|0|0|40|100|34|35|0|0\|0|02|破坏光线|攻击目标造成伤害 70%的几率令目标进入睡眠状态|0|1|150|90|4|5|2|4\100\|0|0
